ADM2_ES,ADM2_PCODE,ADM2_REF,ADM1_ES,ADM1_PCODE,ADM1_REF,ADM0_ES,ADM0_EN,ADM0_PCODE,pop_munid_
Antonio Díaz,VE1001,Antonio Diaz,Delta Amacuro,VE10,Delta Amacuro,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,223078.921798706
Antonio José De Sucre,VE0602,Antonio Jose de Sucre,Barinas,VE06,Barinas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,117247.511839867
Antonio Pinto Salinas,VE1403,Antonio Pinto Salinas,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,24290.5595712662
Antonio Rómulo Costa,VE2002,Antonio Romulo Costa,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,12553.0140104294
Anzoátegui,VE0901,Anzoategui,Cojedes,VE09,Cojedes,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,27969.363524437
Aragua,VE0302,Aragua,Anzoátegui,VE03,Anzoategui,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,14769.5690505505
Araure,VE1802,Araure,Portuguesa,VE18,Portuguesa,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,182734.609612942
Aricagua,VE1404,Aricagua,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,4114.77011394501
Arismendi,VE0603,Arismendi,Barinas,VE06,Barinas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,21939.3748550415
Arismendi,VE1702,Arismendi,Nueva Esparta,VE17,Nueva Esparta,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,37942.5429382324
Arismendi,VE1903,Arismendi,Sucre,VE19,Sucre,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,50007.6764612198
Arístides Bastidas,VE2201,Aristides Bastidas,Yaracuy,VE22,Yaracuy,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,17662.9264812469
Arzobispo Chacón,VE1405,Arzobispo Chacon,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,12888.0672559738
Autónomo Alto Orinoco,VE0201,Autonomo Alto Orinoco,Amazonas,VE02,Amazonas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,17802.6851687431
Autónomo Atabapo,VE0202,Autonomo Atabapo,Amazonas,VE02,Amazonas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,10180.5696148872
Autónomo Atures,VE0203,Autonomo Atures,Amazonas,VE02,Amazonas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,128455.440310478
Autónomo Autana,VE0204,Autonomo Autana,Amazonas,VE02,Amazonas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,10442.6637001038
Autónomo Maroa,VE0205,Autonomo Maroa,Amazonas,VE02,Amazonas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,1897.30695438385
Autónomo Rio Negro,VE0207,Autonomo Rio Negro,Amazonas,VE02,Amazonas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2518.94384717941
Ayacucho,VE2003,Ayacucho,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,45658.9692788124
Baralt,VE2302,Baralt,Zulia,VE23,Zulia,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,106973.504573822
Barinas,VE0604,Barinas,Barinas,VE06,Barinas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,407762.211952209
Baruta,VE1503,Baruta,Miranda,VE15,Miranda,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,265494.785142899
Bejuma,VE0801,Bejuma,Carabobo,VE08,Carabobo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,56353.4144582748
Benítez,VE1904,Benitez,Sucre,VE19,Sucre,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,32245.1116886139
Bermúdez,VE1905,Bermudez,Sucre,VE19,Sucre,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,157041.693203568
Biruaca,VE0402,Biruaca,Apure,VE04,Apure,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,101191.857318878
Bocono,VE2102,Bocono,Trujillo,VE21,Trujillo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,81291.4597358704
Bolívar,VE0501,Bolivar,Aragua,VE05,Aragua,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,177702.902869225
Bolívar,VE0605,Bolivar,Barinas,VE06,Barinas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,90051.5671844482
Bolívar,VE1102,Bolivar,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,7995.64033961296
Bolívar,VE1603,Bolivar,Monagas,VE16,Monagas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,30221.7472724915
Bolívar,VE1906,Bolivar,Sucre,VE19,Sucre,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,23677.5247497559
Bolívar,VE2004,Bolivar,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,58612.4375610352
Bolívar,VE2103,Bolivar,Trujillo,VE21,Trujillo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,11303.6505632401
Bolívar,VE2202,Bolivar,Yaracuy,VE22,Yaracuy,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,34590.5345106125
Bolivariano Angostura,VE0707,Bolivariano Angostura,Bolívar,VE07,Bolivar,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,46679.8440485001
Bolivariano Guaicaipuro,VE1510,Bolivariano Guaicaipuro,Miranda,VE15,Miranda,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,206679.235445023
Brión,VE1504,Brion,Miranda,VE15,Miranda,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,70904.998986721
Bruzual,VE2203,Bruzual,Yaracuy,VE22,Yaracuy,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,51559.6474075317
Buchivacoa,VE1103,Buchivacoa,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,24217.9867744446
Buroz,VE1505,Buroz,Miranda,VE15,Miranda,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,29701.6622085571
Cabimas,VE2303,Cabimas,Zulia,VE23,Zulia,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,291250.653089523
Cacique Manaure,VE1104,Cacique Manaure,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,14120.2564895153
Cajigal,VE1907,Cajigal,Sucre,VE19,Sucre,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,23753.2410764694
Camaguan,VE1201,Camaguan,Guárico,VE12,Guarico,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,12655.948240757
Camatagua,VE0502,Camatagua,Aragua,VE05,Aragua,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,15504.6135911942
Campo Elías,VE1406,Campo Elias,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,69323.901884079
Candelaria,VE2104,Candelaria,Trujillo,VE21,Trujillo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,37740.29337883
Caracciolo Parra Olmedo,VE1407,Caracciolo Parra Olmedo,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2684.06757068634
Carache,VE2105,Carache,Trujillo,VE21,Trujillo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,23655.6934204102
Cardenal Quintero,VE1408,Cardenal Quintero,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,11461.7890357971
Cárdenas,VE2005,Cardenas,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,81256.8713622093
Caripe,VE1604,Caripe,Monagas,VE16,Monagas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,35759.5413093567
Carirubana,VE1105,Carirubana,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,273880.995487213
Carlos Arvelo,VE0802,Carlos Arvelo,Carabobo,VE08,Carabobo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,166803.318178177
Caroní,VE0701,Caroni,Bolívar,VE07,Bolivar,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,777942.021909595
Carrizal,VE1506,Carrizal,Miranda,VE15,Miranda,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,92583.2744941711
Casacoima,VE1002,Casacoima,Delta Amacuro,VE10,Delta Amacuro,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,45654.8159618378
Catatumbo,VE2304,Catatumbo,Zulia,VE23,Zulia,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,51261.635822773
Cedeño,VE0702,Cedeno,Bolívar,VE07,Bolivar,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,94803.4622125626
Cedeño,VE1605,Cedeno,Monagas,VE16,Monagas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,38819.880022049
Chacao,VE1507,Chacao,Miranda,VE15,Miranda,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,85313.5958576202
Chaguaramas,VE1202,Chaguaramas,Guárico,VE12,Guarico,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,9179.78316116333
Cocorote,VE2204,Cocorote,Yaracuy,VE22,Yaracuy,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,29279.139503479
Colina,VE1106,Colina,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,79849.2787866592
Colon,VE2305,Colon,Zulia,VE23,Zulia,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,162101.381204605
Córdoba,VE2006,Cordoba,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,75093.9843940735
Crespo,VE1302,Crespo,Lara,VE13,Lara,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,107417.938821793
Cristóbal Rojas,VE1508,Cristobal Rojas,Miranda,VE15,Miranda,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,233483.901510239
Cruz Paredes,VE0606,Cruz Paredes,Barinas,VE06,Barinas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,55310.0506000519
Cruz Salmerón Acosta,VE1908,Cruz Salmeron Acosta,Sucre,VE19,Sucre,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,38141.3319504261
Dabajuro,VE1107,Dabajuro,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,31470.635560751
Democracia,VE1108,Democracia,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,9083.94827842712
Díaz,VE1703,Diaz,Nueva Esparta,VE17,Nueva Esparta,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,99483.4544712305
Diego Bautista Urbaneja,VE0321,Diego Bautista Urbaneja,Anzoátegui,VE03,Anzoategui,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,79247.5663318634
Diego Ibarra,VE0803,Diego Ibarra,Carabobo,VE08,Carabobo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,57827.0069599152
El Callao,VE0703,El Callao,Bolívar,VE07,Bolivar,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,17592.4658446312
El Hatillo,VE1509,El Hatillo,Miranda,VE15,Miranda,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,59171.6108970642
El Socorro,VE1203,El Socorro,Guárico,VE12,Guarico,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,24918.5559062958
Escuque,VE2106,Escuque,Trujillo,VE21,Trujillo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,28277.5470876694
Esteller,VE1803,Esteller,Portuguesa,VE18,Portuguesa,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,18831.9689979553
Ezequiel Zamora,VE0516,Zamora,Aragua,VE05,Aragua,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,179690.53321743
Ezequiel Zamora,VE0607,Ezequiel Zamora,Barinas,VE06,Barinas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,52680.5005235672
Ezequiel Zamora,VE0908,Ezequiel Zamora,Cojedes,VE09,Cojedes,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,156881.128008842
Ezequiel Zamora,VE1606,Ezequiel Zamora,Monagas,VE16,Monagas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,77067.2782030106
Falcón,VE1109,Falcon,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,54471.3438091278
Federación,VE1110,Federacion,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,36748.2914657593
Fernández Feo,VE2007,Fernandez Feo,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,71627.4551591873
Fernando De Peñalver,VE0303,Fernando de Penalver,Anzoátegui,VE03,Anzoategui,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,49397.4412097931
Francisco De Miranda,VE0305,Francisco de Miranda,Anzoátegui,VE03,Anzoategui,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,74056.7740678787
Francisco De Miranda,VE1208,Francisco de Miranda,Guárico,VE12,Guarico,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,164941.038730621
Francisco De Miranda,VE2008,Francisco de Miranda,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,4947.86312389374
Francisco Del Carmen Carvajal,VE0304,Francisco Del Carvajal,Anzoátegui,VE03,Anzoategui,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,18856.3230781555
Francisco Javier Pulgar,VE2306,Francisco Javier Pulgar,Zulia,VE23,Zulia,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,35018.3915863037
Francisco Linares Alcántara,VE0517,Francisco Linares Alcantara,Aragua,VE05,Aragua,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,47872.9966144562
García,VE1704,Garcia,Nueva Esparta,VE17,Nueva Esparta,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,64273.0511398315
García De Hevia,VE2009,Garcia de Hevia,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,70160.3380360603
Girardot,VE0503,Girardot,Aragua,VE05,Aragua,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,374089.87494278
Girardot,VE0903,Girardot,Cojedes,VE09,Cojedes,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,12193.772061348
Gómez,VE1705,Gomez,Nueva Esparta,VE17,Nueva Esparta,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,62799.1768569946
Gran Sabana,VE0704,Gran Sabana,Bolívar,VE07,Bolivar,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,79624.7806882858
Guacara,VE0804,Guacara,Carabobo,VE08,Carabobo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,354194.253189087
Guanare,VE1804,Guanare,Portuguesa,VE18,Portuguesa,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,229448.706895828
Guanarito,VE1805,Guanarito,Portuguesa,VE18,Portuguesa,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,43480.0662155151
Guanta,VE0306,Guanta,Anzoátegui,VE03,Anzoategui,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,28655.0544576645
Guaraque,VE1409,Guaraque,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,9739.7633190155
Guasimos,VE2010,Guasimos,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,10816.0938372612
Independencia,VE0307,Independencia,Anzoátegui,VE03,Anzoategui,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,22238.5550037622
Independencia,VE1511,Independencia,Miranda,VE15,Miranda,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,137849.822423935
Independencia,VE2011,Independencia,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,34653.5232601166
Independencia,VE2205,Independencia,Yaracuy,VE22,Yaracuy,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,36181.9092441797
Indígena Bolivariano Guajira,VE2315,Indigena Bolivariano Guajira,Zulia,VE23,Zulia,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,179301.012420654
Iribarren,VE1303,Iribarren,Lara,VE13,Lara,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,1072907.06178427
Jacura,VE1111,Jacura,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,8355.91328048706
Jáuregui,VE2012,Jauregui,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,45504.9470496178
Jesús Enrique Lossada,VE2307,Jesus Enrique Lossada,Zulia,VE23,Zulia,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,141964.376155376
Jesús María Semprum,VE2308,Jesus Maria Semprum,Zulia,VE23,Zulia,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,38870.9062976837
Jiménez,VE1304,Jimenez,Lara,VE13,Lara,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,119390.988355637
José Ángel Lamas,VE0504,Jose Angel Lamas,Aragua,VE05,Aragua,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,43928.0188121796
José Antonio Páez,VE2206,Jose Antonio Paez,Yaracuy,VE22,Yaracuy,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,48552.6757164001
José Felipe Márquez Cañizal,VE2107,Jose Felipe Marquez Canizales,Trujillo,VE21,Trujillo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,5284.4206905365
José Félix Ribas,VE0505,Jose Felix Ribas,Aragua,VE05,Aragua,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,261326.505602837
José Félix Ribas,VE1211,Jose Felix Ribas,Guárico,VE12,Guarico,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,37832.9152393341
José Gregorio Monagas,VE0310,Jose Gregorio Monagas,Anzoátegui,VE03,Anzoategui,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,23997.2446036339
José María Vargas,VE2013,Jose Maria Vargas,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,11399.9932312965
José Rafael Revenga,VE0506,Jose Rafael Revenga,Aragua,VE05,Aragua,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,46481.1920585632
José Tadeo Monagas,VE1209,Jose Tadeo Monagas,Guárico,VE12,Guarico,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,78926.6261920929
Juan Antonio Sotillo,VE0308,Juan Antonio Sotillo,Anzoátegui,VE03,Anzoategui,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,289178.578125
Juan Germán Roscio,VE1212,Juan German Roscio,Guárico,VE12,Guarico,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,122713.564540386
Juan José Mora,VE0805,Juan Jose Mora,Carabobo,VE08,Carabobo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,43074.3041396141
Juan Manuel Cajigal,VE0309,Juan Manuel Cajigal,Anzoátegui,VE03,Anzoategui,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,16599.5598831177
Juan Vicente Campo Elías,VE2108,Juan Vicente Campo Elias,Trujillo,VE21,Trujillo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,10923.104385376
Julián Mellado,VE1207,Julian Mellado,Guárico,VE12,Guarico,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,32565.1411685944
Julio Cesar Sala,VE1410,Julio Cesar Salas,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,0
Junín,VE2014,Junin,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,95671.3298015594
Justo Briceño,VE1411,Justo Briceno,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,4727.3128247261
La Cañada De Urdaneta,VE2309,La Canada de Urdaneta,Zulia,VE23,Zulia,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,69522.9331188202
La Ceiba,VE2109,La Ceiba,Trujillo,VE21,Trujillo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,21020.635892868
La Trinidad,VE2207,La Trinidad,Yaracuy,VE22,Yaracuy,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,10573.706403017
Lagunillas,VE2310,Lagunillas,Zulia,VE23,Zulia,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,230678.038618088
Lander,VE1512,Lander,Miranda,VE15,Miranda,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,168931.973873138
Las Mercedes,VE1206,Las Mercedes,Guárico,VE12,Guarico,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,24540.5327033997
Leonardo Infante,VE1205,Leonardo Infante,Guárico,VE12,Guarico,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,137736.507905006
Libertad,VE0311,Libertad,Anzoátegui,VE03,Anzoategui,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,16408.9298419952
Libertad,VE2015,Libertad,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,45914.964697361
Libertador,VE0101,Libertador,Distrito Capital,VE01,Distrito Capital,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,1859254.29956245
Libertador,VE0507,Libertador,Aragua,VE05,Aragua,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,47029.1825332642
Libertador,VE0806,Libertador,Carabobo,VE08,Carabobo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,287782.740837097
Libertador,VE1412,Libertador,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,237146.173584461
Libertador,VE1607,Libertador,Monagas,VE16,Monagas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,45690.7705575228
Libertador,VE1909,Libertador,Sucre,VE19,Sucre,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,10871.6684532166
Libertador,VE2016,Libertador,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,29727.1239819527
Lima Blanco,VE0904,Lima Blanco,Cojedes,VE09,Cojedes,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,5400.22566640377
Lobatera,VE2017,Lobatera,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,22510.6997551918
Los Guayos,VE0807,Los Guayos,Carabobo,VE08,Carabobo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,162312.91966629
